{RCūM, 3}
rasaśālāṃ prakurvīta sarvabādhāvivarjite | [RCūM, 3 1.1]
pītaprabhaṃ guru snigdhaṃ śreṣṭhaṃ kaṅkuṣṭhamādimam | [RCūM, 11 70.1]
śyāmaṃ pītaṃ laghu tyaktasattvaṃ neṣṭaṃ hi reṇukam | [RCūM, 11 70.2]
kecidvadanti kaṅkuṣṭhaṃ sadyo jātasya dantinaḥ | [RCūM, 11 71.1]
varcaḥ sa śyāmapītābhaṃ recanaṃ parikathyate | [RCūM, 11 71.2]
katicit tejivāhānāṃ nālaṃ kaṅkuṣṭhasaṃjñakam | [RCūM, 11 72.1]
vadanti śvetapītābhaṃ tadatīva virecanam | [RCūM, 11 72.2]
rase rasāyane śreṣṭhaṃ niḥsattvaṃ bahuvaikṛtam | [RCūM, 11 73.1]
kaṅkuṣṭhaṃ tiktakaṭukaṃ vīryoṣṇaṃ cātirecanam | [RCūM, 11 73.2]
vraṇodāvarttaśūlārttigulmaplīhagudārttihṛt | [RCūM, 11 74.1]
kaṅkuṣṭhaṃ śuddhimāyāti tridhā śreṣṭhāmbubhāvitam | [RCūM, 11 74.2]
sattvākarṣo'sya na prokto yasmātsattvamayaṃ hi tat | [RCūM, 11 75.1]
bhajedenaṃ virekārthaṃ grāhibhiryavamātrayā | [RCūM, 11 75.2]
nāśayedāmapūrtiṃ ca viricya kṣaṇamātrataḥ | [RCūM, 11 76.1]
bhakṣitaḥ saha tāmbūlairvirecyāśu vināśayet | [RCūM, 11 76.2]
barbūrīmūlikākvāthajīrasaubhāgyakaṃ samam | [RCūM, 11 77.1]
kaṅkuṣṭhaviṣanāśāya bhūyo bhūyaḥ pibennaraḥ | [RCūM, 11 77.2]
kāsīsaṃ vālukādyekaṃ puṣpapūrvamathāparam | [RCūM, 11 78.1]
kṣārāmlaṃ guru dhūmābhaṃ soṣṇavīryaṃ viṣāpaham | [RCūM, 11 78.2]
vālukāpūrvakāsīsaṃ śvitraghnaṃ keśarañjanam | [RCūM, 11 78.3]
puṣpādikāsīsam atiprasiddhaṃ soṣṇaṃ kaṣāyāmlamatīva netryam | [RCūM, 11 79.1]
viṣānilaśleṣmagadavraṇaghnaṃ śvitrakṣayaghnaṃ kacarañjanaṃ ca | [RCūM, 11 79.2]
sakṛd bhṛṅgāmbunā klinnaṃ kāsīsaṃ nirmalaṃ bhavet | [RCūM, 11 80.1]
tuvarīsattvavat sattvametasyāpi samāharet | [RCūM, 11 80.2]
balinā hatakāsīsaṃ kāntaṃ kāsīsamāritam | [RCūM, 11 81.1]
ubhayaṃ samabhāgaṃ hi triphalāvellasaṃyutam | [RCūM, 11 81.2]
viṣamāṃśaghṛtakṣaudraplutaṃ śāṇamitaṃ prage | [RCūM, 11 82.1]
sevitaṃ hanti vegena śvitrapāṇḍukṣayāmayān | [RCūM, 11 82.2]
gulmaplīhagadaṃ śūlaṃ mūtrarogam aśeṣataḥ | [RCūM, 11 83.1]
rasāyanavidhānena sevitaṃ vatsarāvadhi | [RCūM, 11 83.2]
āmasaṃśoṣaṇaṃ śreṣṭhaṃ mandāgniparidīpanam | [RCūM, 11 84.1]
palitaṃ valibhiḥ sārdhaṃ vināśayati niścitam | [RCūM, 11 84.2]
pāṣāṇagairikaṃ caikaṃ dvitīyaṃ svarṇagairikam | [RCūM, 11 85.1]
pāṣāṇagairikaṃ proktaṃ kaṭhinaṃ tāmravarṇakam | [RCūM, 11 85.2]
svādu snigdhaṃ himaṃ netryaṃ kaṣāyaṃ raktapittanut | [RCūM, 11 86]
hidhmāvamiviṣaghnaṃ ca raktaghnaṃ svarṇagairikam | [RCūM, 11 87.1]
pāṣāṇagairikaṃ cānyat pūrvasmādalpakaṃ guṇaiḥ | [RCūM, 11 87.2]
gairikaṃ hi gavāṃ dugdhairbhāvitaṃ śuddhim ṛcchati | [RCūM, 11 88.1]
gairikaṃ sattvarūpaṃ hi nandinā parikīrtitam | [RCūM, 11 88.2]
kairapyuktaṃ patetsattvaṃ kṣārāmlasvinnagairikāt | [RCūM, 11 89.1]
upatiṣṭhati sūtendram ekatvaṃ guṇavattaram | [RCūM, 11 89.2]
kampillaścāparo gaurīpāṣāṇo navasārakaḥ | [RCūM, 11 90.1]
kapardo vahnijāraśca girisindūrahiṅgulau | [RCūM, 11 90.2]
boddāraśṛṅgamityaṣṭau sādhāraṇarasā matāḥ | [RCūM, 11 91.1]
rasasiddhikarāḥ proktā nāgārjunapuraḥsaraiḥ | [RCūM, 11 91.2]
iṣṭikācūrṇasaṃkāśaścandrikāḍhyo'tirecanaḥ | [RCūM, 11 92.1]
saurāṣṭradeśasambhūtaḥ sa hi kampillako mataḥ | [RCūM, 11 92.2]
pittavraṇādhmānavibandhanighnaḥ śleṣmodarārttikṛmigulmavairī | [RCūM, 11 93.1]
mūlāmaśūlajvaraśophahārī kampillako recyagadāpahārī | [RCūM, 11 93.2]
gaurīpāṣāṇakaḥ pīto vikaṭo hatacūrṇakaḥ | [RCūM, 11 94.1]
rasabandhakaraḥ snigdho doṣaghno rasavīryakṛt | [RCūM, 11 94.2]
karīrapīlukāṣṭheṣu pacyamāneṣu codbhavaḥ | [RCūM, 11 95.1]
kṣāro'sau navasāraḥ syāccūlikālavaṇābhidhaḥ | [RCūM, 11 95.2]
iṣṭikādahane jātaṃ pāṇḍuraṃ lavaṇaṃ laghu | [RCūM, 11 96.1]
taduktaṃ navasārākhyaṃ cūlikālavaṇaṃ ca tat | [RCūM, 11 96.2]
rasendrajāraṇaṃ lohadrāvaṇaṃ jaṭharāgnikṛt | [RCūM, 11 97.1]
gulmaplīhāsyaśoṣaghnaṃ bhuktamāṃsādijāraṇam | [RCūM, 11 97.2]
viḍākhyaṃ ca tridoṣaghnaṃ cūlikālavaṇaṃ matam | [RCūM, 11 97.3]
pītābhā granthilā pṛṣṭhe dīrghavṛntā varāṭikā | [RCūM, 11 98.1]
rasavaidyairvinirdiṣṭā sā carācarasaṃjñikā | [RCūM, 11 98.2]
sārdhaniṣkamitā śreṣṭhā niṣkabhārā ca madhyamā | [RCūM, 11 99.1]
pādonaniṣkabhārā ca kaniṣṭhā parikīrtitā | [RCūM, 11 99.2]
pariṇāmādiśūlaghnī grahaṇīkṣayanāśinī | [RCūM, 11 100.1]
kaṭūṣṇā dīpanī vṛṣyā netryā vātakaphāpahā | [RCūM, 11 100.2]
rasendrajāraṇe proktā biḍadravyeṣu śasyate | [RCūM, 11 101.1]
tadanye tu varāṭāḥ syur guravaḥ śleṣmapittalāḥ | [RCūM, 11 101.2]
hatvā hatvā guṇān bhūyo vikārān kurvate na hi | [RCūM, 11 102.1]
varāṭāḥ kāñjike svinnā yāmācchuddhimavāpnuyuḥ | [RCūM, 11 102.2]
samudreṇāgninakrasya jarāyur bahirujjhitaḥ | [RCūM, 11 103.1]
saṃśuṣko bhānutāpena so'gnijāra iti smṛtaḥ | [RCūM, 11 103.2]
tadabdhikṣārasaṃśuddhaṃ tasmācchuddhirna hīṣyate | [RCūM, 11 104.1]
agnijāras tridoṣaghno dhanurvātādivātanut | [RCūM, 11 104.2]
vardhano rasavīryasya dīpano jāraṇastathā | [RCūM, 11 104.3]
mahagiriṣu cālpīyaḥ pāṣāṇāntaḥ sthito rasaḥ | [RCūM, 11 105.1]
śuṣkaḥ śoṇaḥ sa nirdiṣṭo rasasindūrasaṃjñayā | [RCūM, 11 105.2]
tridoṣaśamanaṃ bhedi rasabandhanamagrimam | [RCūM, 11 106.1]
dehalohakaraṃ netryaṃ girisindūramīritam | [RCūM, 11 106.2]
hiṅgulaḥ śukatuṇḍākhyo haṃsapākastathāparaḥ | [RCūM, 11 107.1]
prathamo'lpaguṇastatra carmāraḥ sa nigadyate | [RCūM, 11 107.2]
śvetarekhaḥ pravālābho haṃsapākaḥ sa īritaḥ | [RCūM, 11 108.1]
hiṅgulaḥ sarvadoṣaghno dīpano'tirasāyanaḥ | [RCūM, 11 108.2]
sarvarogaharo vṛṣyo jāraṇāyātiśasyate | [RCūM, 11 109.1]
etasmādāhṛtaḥ sūto jīrṇagandhasamo guṇaiḥ | [RCūM, 11 109.2]
saptakṛtvārdrakadrāvairlakucasyāmbunāpi vā | [RCūM, 11 110.1]
śoṣito bhāvayitvā ca nirdoṣo jāyate khalu | [RCūM, 11 110.2]
sadalaṃ pītavarṇaṃ ca bhavedgurjaramaṇḍale | [RCūM, 11 111.1]
arbudasya gireḥ pārśve jātaṃ boddāraśṛṅgakam | [RCūM, 11 111.2]
sīsasattvaṃ marucchleṣmaśamanaṃ puṃgadāpaham | [RCūM, 11 112.1]
rasabandhanamutkṛṣṭaṃ keśarañjanamuttamam | [RCūM, 11 112.2]
sādhāraṇarasāḥ sarve mātuluṅgadravāmbunā | [RCūM, 11 113.1]
trivāraṃ bhāvitāḥ śuṣkā bhaveyurdoṣavarjitāḥ | [RCūM, 11 113.2]
yāni kāni ca sattvāni tāni śudhyantyaśeṣataḥ | [RCūM, 11 114.1]
dhmātāni śuddhivargeṇa milanti ca parasparam | [RCūM, 11 114.2]
{RCūM, 12}
māṇikyamuktāphalavidrumāṇi tārkṣyaṃ ca puṣpaṃ bhiduraṃ ca nīlam | [RCūM, 12 1.1]
gomedakaṃ cātha vidūrakaṃ ca krameṇa ratnāni navagrahāṇām | [RCūM, 12 1.2]
grahānumaitryā kuruvindapuṣpapravālamuktāphalatārkṣyavajram | [RCūM, 12 2.1]
nīlākhyagomedavidūrakaṃ ca krameṇa mudrādhṛtamiṣṭasiddhyai | [RCūM, 12 2.2]
rase rasāyane dāne dhāraṇe ca devatārcane | [RCūM, 12 3.1]
sulakṣmāṇi sujātīni ratnānyuktāni siddhaye | [RCūM, 12 3.2]
māṇikyaṃ padmarāgākhyaṃ dvitīyaṃ nīlagandhi ca | [RCūM, 12 4.1]
śītaṃ kuśeśayacchāyaṃ svacchaṃ snigdhaṃ guru sphuṭam | [RCūM, 12 4.2]
vṛttāyattaṃ samagātraṃ māṇikyaṃ śreṣṭhamucyate | [RCūM, 12 5.1]
nīlaṃ gaṅgāmbusambhūtaṃ nīlagarbhāruṇacchavi | [RCūM, 12 5.2]
pūrvamāṇikyavacchreṣṭhaṃ māṇikyaṃ nīlagandhi tat | [RCūM, 12 5.3]
randhrakārkaśyamālinyaraukṣyavaiśadyasaṃyutam | [RCūM, 12 6.1]
cipiṭaṃ laghu vakraṃ ca māṇikyaṃ duṣṭam aṣṭadhā | [RCūM, 12 6.2]
māṇikyaṃ dīpanaṃ vṛṣyaṃ kaphavātakṣayārtihṛt | [RCūM, 12 7.1]
bhūtavaitālapāpaghnaṃ karmajavyādhināśanam | [RCūM, 12 7.2]
hlādi śvetaṃ laghu snigdhaṃ raśmivannirmalaṃ mahat | [RCūM, 12 8.1]
khyātaṃ toyaprabhaṃ vṛttaṃ mauktikaṃ navadhā śubham | [RCūM, 12 8.2]
rūkṣāṅgaṃ nirjalaṃ śyāmaṃ tāmrābhaṃ lavaṇopamam | [RCūM, 12 9.1]
ardhaśubhraṃ ca vikaṭaṃ granthilaṃ mauktikaṃ tyajet | [RCūM, 12 9.2]
kaphapittakṣayadhvaṃsi kāsaśvāsāgnimāndyanut | [RCūM, 12 10.1]
puṣṭidaṃ vṛṣyamāyuṣyaṃ dāhaghnaṃ mauktikaṃ matam | [RCūM, 12 10.2]
pakvabimbaphalacchāyaṃ vṛttāyattam avakrakam | [RCūM, 12 11.1]
snigdham avraṇakaṃ sthūlaṃ pravālaṃ saptadhā matam | [RCūM, 12 11.2]
pāṇḍuraṃ dhūsaraṃ rūkṣaṃ savraṇaṃ koṭarānvitam | [RCūM, 12 12.1]
nirbhāraṃ śubhravarṇaṃ ca pravālaṃ neṣyate'ṣṭadhā | [RCūM, 12 12.2]
kṣayapittāsrakāsaghnaṃ dīpanaṃ pācanaṃ laghu | [RCūM, 12 13.1]
viṣabhūtādiśamanaṃ vidrumaṃ netraroganut | [RCūM, 12 13.2]
haridvarṇaṃ guru snigdhaṃ sphuradraśmicayaṃ śubham | [RCūM, 12 14.1]
masṛṇaṃ bhāsuraṃ tārkṣyaṃ gātraṃ saptaguṇaṃ matam | [RCūM, 12 14.2]
kapiśaṃ karkaśaṃ nīlaṃ pāṇḍu kṛṣṇaṃ salāghavam | [RCūM, 12 15.1]
cipiṭaṃ vikaṭaṃ kṛṣṇaṃ rūkṣaṃ tārkṣyaṃ na śasyate | [RCūM, 12 15.2]
jvarachardiviṣaśvāsasannipātāgnimāndyanut | [RCūM, 12 16.1]
durnāmapāṇḍuśophaghnaṃ tārkṣyamojovivardhanam | [RCūM, 12 16.2]
puṣparāgaṃ guru snigdhaṃ svacchaṃ sthūlaṃ samaṃ mṛdu | [RCūM, 12 17.1]
karṇikāraprasūnābhaṃ masṛṇaṃ śubhamaṣṭadhā | [RCūM, 12 17.2]
niṣprabhaṃ karkaśaṃ rūkṣaṃ pītaṃ śyāmaṃ natonnatam | [RCūM, 12 18.1]
kapilaṃ kapiśaṃ pāṇḍu puṣparāgaṃ parityajet | [RCūM, 12 18.2]
puṣparāgaṃ viṣachardikaphavātāgnimāndyanut | [RCūM, 12 19.1]
dāhakuṣṭhapraśamanaṃ dīpanaṃ laghu pācanam | [RCūM, 12 19.2]
vajraṃ ca trividhaṃ proktaṃ naro nārī napuṃsakam | [RCūM, 12 20.1]
pūrvaṃ pūrvaṃ mahāśreṣṭhaṃ rasavīryavipākataḥ | [RCūM, 12 20.2]
aṣṭāsraṃ cāṣṭaphalakaṃ ṣaṭkoṇam atibhāsuram | [RCūM, 12 21.1]
ambudendradhanurvāri naraṃ puṃvajramucyate | [RCūM, 12 21.2]
tadeva cipiṭākāraṃ strīvajraṃ varttulāyatam | [RCūM, 12 22.1]
varttulaṃ kuṇṭhakoṇāgraṃ kiṃcidguru napuṃsakam | [RCūM, 12 22.2]
strīpuṃnapuṃsakaṃ vajraṃ yojyaṃ strīpuṃnapuṃsake | [RCūM, 12 23.1]
vyatyāsānnaiva phaladaṃ puṃvajreṇa vinā kvacit | [RCūM, 12 23.2]
śvetādivarṇabhedena tadekaikaṃ caturvidham | [RCūM, 12 24.1]
brahmakṣatriyaviṭśūdraṃ svasvavarṇaphalapradam | [RCūM, 12 24.2]
uttamottamavarṇaṃ hi nīcavarṇe phalapradam | [RCūM, 12 25.1]
nyāyo'yaṃ bhairaveṇoktaṃ padārtheṣvakhileṣvapi | [RCūM, 12 25.2]
āyuṣpradaṃ jhaṭiti sadguṇadaṃ ca vṛṣyaṃ doṣatrayapraśamanaṃ sakalāmayaghnam | [RCūM, 12 26.1]
sūtendrabandhavadhasadguṇakṛt pradīpi mṛtyuṃ jayed amṛtopamayeva vajram | [RCūM, 12 26.2]
grāsastrāsaśca binduśca rekhā ca jalagarbhatā | [RCūM, 12 27.1]
sarvaratneṣvamī pañca doṣāḥ sādhāraṇā matāḥ | [RCūM, 12 27.2]
kṣetratoyabhavā doṣā ratneṣu na laganti ca | [RCūM, 12 28.1]
bhairavastu punaḥ prāha doṣo doṣe'sti sarvathā | [RCūM, 12 28.2]
kulatthakvāthake svinnaṃ kodravakvathitena vā | [RCūM, 12 29.1]
ekayāmāvadhi svinnaṃ vajraṃ śudhyati niścitam | [RCūM, 12 29.2]
vajraṃ matkuṇarakteṇa caturvāraṃ vibhāvitam | [RCūM, 12 30.1]
sugandhamūṣikāmāṃsair vartitaiḥ pariveṣṭya ca | [RCūM, 12 30.2]
puṭet puṭairvarāhākhyaistriṃśadvāraṃ tataḥ param | [RCūM, 12 31.1]
dhmātvā dhmātvā śataṃ vārān kulatthakvāthake kṣipet | [RCūM, 12 31.2]
anyairuktaṃ śataṃ vārān kartavyo'yaṃ vidhikramaḥ | [RCūM, 12 32.1]
kulatthakvāthasaṃyuktalakucadravapiṣṭayā | [RCūM, 12 32.2]
śilayā liptamūṣāyāṃ vajraṃ kṣiptvā nirudhya ca | [RCūM, 12 33.1]
aṣṭavāraṃ puṭet samyagviśuṣkair vanakotpalaiḥ | [RCūM, 12 33.2]
śatavāraṃ tato dhmātvā nikṣiptaṃ śuddhapārade | [RCūM, 12 34.1]
niścitaṃ mriyate vajraṃ bhasma vāritaraṃ bhavet | [RCūM, 12 34.2]
satyavāk somasenānīr etadvajrasya māraṇam | [RCūM, 12 35.1]
dṛṣṭapratyayasaṃyuktamuktavān rasakautukī | [RCūM, 12 35.2]
viliptaṃ matkuṇasyāsraiḥ saptavāraṃ viśoṣitam | [RCūM, 12 36.1]
kāsamardarasāpūrṇalohapātre niveśitam | [RCūM, 12 36.2]
saptavāraṃ paridhmātaṃ vajrabhasma bhavet khalu | [RCūM, 12 37.1]
brahmajyotirmunīndreṇa kramo'yaṃ parikīrtitaḥ | [RCūM, 12 37.2]
nīlajyotirlatākande ghṛṣṭaṃ gharme viśoṣitam | [RCūM, 12 38.1]
vajraṃ bhasmatvamāyāti karmavajjñānavahninā | [RCūM, 12 38.2]
madanasya phalodbhūtarasena kṣoṇināgakaiḥ | [RCūM, 12 39.1]
kṛtakalkena saṃlipya puṭed viṃśativārakam | [RCūM, 12 39.2]
tadvajraṃ cūrṇayitvātha kiṃciṭ ṭaṅkaṇasaṃyutam | [RCūM, 12 40]
kharabhūnāgasattvena viṃśenāvartayed dhruvam | [RCūM, 12 41.1]
tulyasvarṇena taddhmātaṃ yojanīyaṃ rasādiṣu | [RCūM, 12 41.2]
triguṇena rasenaiva vimardya guṭikīkṛtam | [RCūM, 12 42.1]
mukhe dhṛtaṃ karotyāśu caladantavibandhanam | [RCūM, 12 42.2]
triṃśadbhāgamitaṃ hi vajrabhasitaṃ svarṇaṃ kalābhāgikaṃ tāraṃ cāṣṭaguṇaṃ śivāmṛtavaraṃ rudrāṃśakaṃ cābhrakam | [RCūM, 12 43.1]
pādāṃśaṃ khalu tāpyakaṃ vasuguṇaṃ vaikrāntakaṃ ṣaḍguṇaṃ bhāgo'pyuktarasādraso'yamuditaḥ ṣāḍguṇyasaṃsiddhaye | [RCūM, 12 43.2]
jalanīlendranīlaṃ ca śakranīlaṃ tayorvaram | [RCūM, 12 44.1]
śvaityagarbhitanīlābhaṃ laghu tajjalanīlakam | [RCūM, 12 44.2]
kārṣṇyagarbhitanīlābhaṃ sabhāraṃ śakranīlakam | [RCūM, 12 44.3]
ekacchāyaṃ guru snigdhaṃ svacchaṃ piṇḍitavigraham | [RCūM, 12 45.1]
mṛdu madhyollasajjyotiḥ saptadhā nīlamuttamam | [RCūM, 12 45.2]
komalaṃ vihitaṃ varṇaṃ nirbhāraṃ raktagandhi ca | [RCūM, 12 46.1]
cipiṭābhaṃ sarūkṣaṃ ca jalanīlaṃ ca saptadhā | [RCūM, 12 46.2]
kāsaśvāsaharaṃ vṛṣyaṃ tridoṣaghnaṃ sudīpanam | [RCūM, 12 47.1]
viṣamajvaradurnāmapāpaghnaṃ nīlamīritam | [RCūM, 12 47.2]
gomedaḥsamarāgatvād gomedaṃ ratnamucyate | [RCūM, 12 48.1]
susvacchagojalacchāyaṃ svacchaṃ snigdhaṃ samaṃ guru | [RCūM, 12 48.2]
nirdalaṃ masṛṇaṃ dīptaṃ śastaṃ gomedamaṣṭadhā | [RCūM, 12 48.3]
vicchāyaṃ laghu rūkṣāṅgaṃ cipiṭaṃ paṭalānvitam | [RCūM, 12 49.1]
niṣprabhaṃ pītakācābhaṃ gomedaṃ na śubhāvaham | [RCūM, 12 49.2]
gomedaṃ kaphapittaghnaṃ kṣayapāṇḍukṣayaṃkaram | [RCūM, 12 50.1]
dīpanaṃ pācanaṃ rucyaṃ tvacyaṃ buddhiprabodhanam | [RCūM, 12 50.2]
vaiḍūryaṃ śyāmaśubhrābhaṃ samaṃ svacchaṃ guru sphuṭam | [RCūM, 12 51.1]
bhramacchubhrottarīyeṇa garbhitaṃ śubhamīritam | [RCūM, 12 51.2]
śyāmaṃ toyasamacchāyaṃ cipiṭaṃ laghu karkaśam | [RCūM, 12 52.1]
raktagarbhottarīyaṃ ca vaiḍūryaṃ naiva śasyate | [RCūM, 12 52.2]
vaiḍūryaṃ raktapittaghnaṃ prajñāyurbalavardhanam | [RCūM, 12 53.1]
pittapradhānarogaghnaṃ dīpanaṃ malamocanam | [RCūM, 12 53.2]
śudhyatyamlena māṇikyaṃ jayantyā mauktikaṃ tathā | [RCūM, 12 54.1]
vidrumaṃ kṣāravargeṇa tārkṣyaṃ godugdhatastathā | [RCūM, 12 54.2]
puṣparāgaṃ ca dhānyāmlaiḥ kulatthakvāthasaṃyutaiḥ | [RCūM, 12 55.1]
taṇḍulīyajalairvajraṃ nīlaṃ nīlīrasena ca | [RCūM, 12 55.2]
rocanābhiśca gomedaṃ vaiḍūryaṃ triphalājalaiḥ | [RCūM, 12 55.3]
lakucadrāvasampiṣṭaiḥ śilāgandhakatālakaiḥ | [RCūM, 12 56.1]
vajraṃ vinānyaratnāni mriyante'ṣṭapuṭaiḥ khalu | [RCūM, 12 56.2]
rāmaṭhaṃ pañcalavaṇaṃ kṣārāṇāṃ tritayaṃ tathā | [RCūM, 12 57.1]
māṃsadrāvyamlavetaśca cūlikālavaṇaṃ tathā | [RCūM, 12 57.2]
sthalakumbhīphalaṃ pakvaṃ tathā jvālāmukhī śubhā | [RCūM, 12 58.1]
dravantī ca rudantī ca payasyā citramūlakam | [RCūM, 12 58.2]
dugdhaṃ snuhyāstathārkasya sarvaṃ saṃmardyaṃ yatnataḥ | [RCūM, 12 59.1]
golaṃ vidhāya tanmadhye prakṣipettadanantaram | [RCūM, 12 59.2]
guṇavantyeva ratnāni jātimanti śubhāni ca | [RCūM, 12 60.1]
bhūrje taṃ golakaṃ kṛtvā sūtreṇāveṣṭya yatnataḥ | [RCūM, 12 60.2]
punarvastreṇa saṃveṣṭya dolāyantre nidhāya ca | [RCūM, 12 61.1]
sarvāmlayuktasaṃdhānaparipūrṇaghaṭodare | [RCūM, 12 61.2]
ahorātratrayaṃ yāvatsvedayettīvravahninā | [RCūM, 12 62.1]
tasmādāhṛtya saṃkṣālya ratnajāṃ drutimāharet | [RCūM, 12 62.2]
ratnatulyaprabhā laghvī dehalohakarī śubhā | [RCūM, 12 63.1]
durmelā rasarājena naikatvaṃ yāti tena sā | [RCūM, 12 63.2]
rāmaṭhādikavargeṇa pramilati na saṃśayaḥ | [RCūM, 12 64.1]
suprasanne mahādeve drutiḥ kasya na sidhyati | [RCūM, 12 64.2]
durlabhā vaiṣṇavī bhaktirdurlabhaṃ rasabandhanam | [RCūM, 12 65.1]
durlabhātra drutirloke svalpabhāgyavatāṃ nṛṇām | [RCūM, 12 65.2]
sūryādigrahanigrahāpaharaṇaṃ dīrghāyurārogyadaṃ saubhāgyodayabhāgyavaśyavibhavotsāhapradaṃ dhairyakṛt | [RCūM, 12 66.1]
duḥchāyāṃcaladhūlisaṅgatibhavālakṣmīharaṃ sarvadā ratnānāṃ paridhāraṇaṃ nigaditaṃ bhūtādinirṇāśanam | [RCūM, 12 66.2]
ratnānām guṇagrāmaṃ samagraṃ cāgraṇīḥ satām | [RCūM, 12 67.1]
suratnamabravīt somo neti yadguṇitaṃ guṇī | [RCūM, 12 67.2]
varṇalakṣasaṃjātiyuktaṃ ratnaṃ phalapradam | [RCūM, 12 68.1]
rase rasāyane dāne dhāraṇe cānyathānyathā | [RCūM, 12 68.2]
{RCūM, 13}
sujātiguṇamāṇikyabhasma karṣamitaṃ śubham | [RCūM, 13 1.1]
kanakābhrakatāmrāṇāṃ kāntasya bhasitaṃ pṛthak | [RCūM, 13 1.2]
triguṇatvena saṃvṛddhaṃ mardayet samagandhakaiḥ | [RCūM, 13 2.1]
puṭedvanagiriṇḍaiśca pañcavārāṇi yatnataḥ | [RCūM, 13 2.2]
evaṃ śilālakābhyāṃ ca puṭennīlāñjanena ca | [RCūM, 13 3.1]
tulyagandhāśmasūtābhyāṃ vihitāṃ kajjalīṃ śubhām | [RCūM, 13 3.2]
tatastāṃ kajjalīṃ yatnād gṛhītvā tadanantaram | [RCūM, 13 4.1]
lohapātre paridrāvya bādareṇālpavahninā | [RCūM, 13 4.2]
māṇikyādīni bhasmāni kṣiptvā tatra vimiśrayet | [RCūM, 13 5.1]
athārdrakarasaistāṃ tu mardayitvātha kajjalīm | [RCūM, 13 5.2]
samyak śuṣkaṃ vicūrṇyātha kṣipedramyakaraṇḍake | [RCūM, 13 6.1]
vyoṣājyasammitaṃ hyetanmāṇikyādyaṃ rasāyanam | [RCūM, 13 6.2]
vyoṣājyasahitaṃ līḍhaṃ ṣaṇmāsaṃ pathyabhojinā | [RCūM, 13 7.1]
nihanti sakalān rogān jarāpalitasaṃyutān | [RCūM, 13 7.2]
jīvedvarṣaśataṃ caiva trivārakṛtabhojanaḥ | [RCūM, 13 8.1]
kṣayādijān gadān sarvāṃstattadrogānupānataḥ | [RCūM, 13 8.2]
jayantīrasaniṣpiṣṭaṃ śukapicchena māritam | [RCūM, 13 9.1]
mauktikaṃ rasamātraṃ hi dviguṇaṃ svarṇabhasmakam | [RCūM, 13 9.2]
triguṇaṃ kāntajaṃ bhasma vyomasattvaṃ caturguṇam | [RCūM, 13 10.1]
dattvā ca gandhasaubhāgyaṃ śṛṅgavereṇa bhāvitam | [RCūM, 13 10.2]
puṭed viṃśativārāṇi vidrāvya paṭagālitam | [RCūM, 13 11.1]
sarvatulyena balinā rasena kṛtakajjalīm | [RCūM, 13 11.2]
vidrāvya pūrvavad bhasma muktādīnāṃ parikṣipet | [RCūM, 13 12.1]
vimiśrya nikṣipettatra kṣīraṃ chāgīsamudbhavam | [RCūM, 13 12.2]
saṃśoṣitaṃ vicūrṇyātha kācakūpyāṃ vinikṣipet | [RCūM, 13 13.1]
pippalīmadhunā sārdhaṃ sevitaṃ vallamātrayā | [RCūM, 13 13.2]
rasāyanavidhānena kurute vatsareṇa hi | [RCūM, 13 14.1]
valīpalitanirmuktaṃ vārdhakyena vivarjitam | [RCūM, 13 14.2]
śrotradantādisampannaṃ śatāyuṣkaṃ sacakṣuṣam | [RCūM, 13 15.1]
mattadantibalopetaṃ vivāde vijayānvitam | [RCūM, 13 15.2]
līḍhaṃ madhvājyatailaiśca kaṇopetāśvagandhayā | [RCūM, 13 16.1]
kṣayarogaṃ nihantyeva maṇḍalārdhena niścitam | [RCūM, 13 16.2]
tattadrogānupānaiśca nihanti sakalāmayān | [RCūM, 13 17.1]
vandhyāputrapradaṃ hyetat sūtikāmayanāśanam | [RCūM, 13 17.2]
bālānāṃ paramaṃ pathyaṃ vṛṣyamāyuṣyamuttamam | [RCūM, 13 18.1]
nāgodaropaviṣṭaṃ ca hanti strīṇāṃ ca vegataḥ | [RCūM, 13 18.2]
haiyaṅgavīnasaṃyuktaṃ tavarājena saṃyutam | [RCūM, 13 19.1]
garbhiṇīsarvarogeṣu praśastaṃ parikīrtitam | [RCūM, 13 19.2]
catuṣpalaṃ pravālasya bhasmano mṛtatārakam | [RCūM, 13 20.1]
tatsamaṃ dviguṇaṃ tāmraṃ pravālādardhamākṣikam | [RCūM, 13 20.2]
triṃśadvibhāgikaṃ vajraṃ ṣoḍaśāṃśaṃ ca nīlakam | [RCūM, 13 21.1]
vyomasattvaṃ samaṃ sarvaistālakaṃ sarvataḥ samam | [RCūM, 13 21.2]
vimardya luṅgatoyena yāvaddinacatuṣṭayam | [RCūM, 13 22.1]
sarvārdhaśuddhasūtena tasmād dviguṇagandhakaiḥ | [RCūM, 13 22.2]
vihitāṃ kajjalīṃ samyak drāvayitvā yathā purā | [RCūM, 13 23.1]
pravālādīni bhasmāni vinikṣipya vimiśrya ca | [RCūM, 13 23.2]
nirvāpya goghṛte samyag dvādaśābdapurātane | [RCūM, 13 24.1]
śarāvasampuṭe ruddhvā ghṛtāktaṃ svedayecchanaiḥ | [RCūM, 13 24.2]
