{VSM, 1}
iṣe tvā | [VSM, 1 1.1]
idam ahaṃ taṃ valagam utkirāmi yaṃ me sabandhur yam asabandhur nicakhāna | [VSM, 5 23.4]
idam ahaṃ taṃ valagam utkirāmi yaṃ me sajāto yam asajāto nicakhāna | [VSM, 5 23.5]
ut kṛtyāṃ kirāmi | [VSM, 5 23.6]
svarāḍ asi | [VSM, 5 24.1]
satrarāḍ asy abhimātihā | [VSM, 5 24.2]
janarāḍ asi rakṣohā | [VSM, 5 24.3]
sarvarāḍ asy amitrahā | [VSM, 5 24.4]
rakṣohaṇo vo valagahanaḥ prokṣāmi vaiṣṇavān | [VSM, 5 25.1]
rakṣohaṇo vo valagahano 'vanayāmi vaiṣṇavān | [VSM, 5 25.2]
rakṣohaṇo vo valagahano 'vastṛṇāmi vaiṣṇavān | [VSM, 5 25.3]
rakṣohaṇau vāṃ valagahanā upadadhāmi vaiṣṇavī | [VSM, 5 25.4]
rakṣohaṇau vāṃ valagahanau paryūhāmi vaiṣṇavī | [VSM, 5 25.5]
vaiṣṇavam asi | [VSM, 5 25.6]
vaiṣṇavā stha | [VSM, 5 25.7]
devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām | [VSM, 5 26.1]
ādade nāry asi | [VSM, 5 26.2]
idam ahaṃ rakṣasāṃ grīvā apikṛntāmi | [VSM, 5 26.3]
yavo 'si yavayāsmad dveṣo yavayārātīḥ | [VSM, 5 26.4]
dive tvāntarikṣāya tvā pṛthivyai tvā | [VSM, 5 26.5]
śundhantāṃ lokāḥ pitṛṣadanāḥ | [VSM, 5 26.6]
pitṛṣadanam asi | [VSM, 5 26.7]
ud divaṃ stabhānāntarikṣaṃ pṛṇa dṛṃhasva pṛthivyām | [VSM, 5 27.1]
dyutānas tvā māruto minotu mitrāvaruṇau dhruveṇa dharmaṇā | [VSM, 5 27.2]
brahmavani tvā kṣatravani tvā rāyaspoṣavani paryūhāmi | [VSM, 5 27.3]
brahma dṛṃha kṣatraṃ dṛṃhāyur dṛṃha prajāṃ dṛṃha | [VSM, 5 27.4]
dhruvāsi dhruvo 'yaṃ yajamāno 'sminn āyatane prajayā paśubhir bhūyāt | [VSM, 5 28.1]
ghṛtena dyāvāpṛthivī pūryethām | [VSM, 5 28.2]
indrasya chadir asi viśvajanasya chāyā | [VSM, 5 28.3]
pari tvā girvaṇo gira imā bhavantu viśvataḥ | [VSM, 5 29.1]
vṛddhāyum anu vṛddhayo juṣṭā bhavantu juṣṭayaḥ | [VSM, 5 29.2]
indrasya syūr asi | [VSM, 5 30.1]
indrasya dhruvo 'si | [VSM, 5 30.2]
aindram asi | [VSM, 5 30.3]
vaiśvadevam asi | [VSM, 5 30.4]
vibhūr asi pravāhaṇaḥ | [VSM, 5 31.1]
vahnir asi havyavāhanaḥ | [VSM, 5 31.2]
śvātro 'si pracetāḥ | [VSM, 5 31.3]
tutho 'si viśvavedāḥ | [VSM, 5 31.4]
uśig asi kaviḥ | [VSM, 5 32.1]
aṅghārir asi bambhāriḥ | [VSM, 5 32.2]
avasyūr asi duvasvān | [VSM, 5 32.3]
śundhyūr asi mārjālīyaḥ | [VSM, 5 32.4]
samrāḍ asi kṛśānuḥ | [VSM, 5 32.5]
pariṣadyo 'si pavamānaḥ | [VSM, 5 32.6]
nabho 'si pratakvā | [VSM, 5 32.7]
mṛṣṭo 'si havyasūdanaḥ | [VSM, 5 32.8]
ṛtadhāmāsi svarjyotiḥ | [VSM, 5 32.9]
samudro 'si viśvavyacāḥ | [VSM, 5 33.1]
ajo 'sy ekapāt | [VSM, 5 33.2]
ahir asi budhnyaḥ | [VSM, 5 33.3]
vāg asy aindram asi sado 'si | [VSM, 5 33.4]
ṛtasya dvārau mā mā saṃtāptam | [VSM, 5 33.5]
adhvanām adhvapate pra mā tira svasti me 'smin pathi devayāne bhūyāt | [VSM, 5 33.6]
mitrasya mā cakṣuṣekṣadhvam | [VSM, 5 34.1]
agnayaḥ sagarāḥ sagarā stha sagareṇa nāmnā raudreṇānīkena pāta māgnayaḥ pipṛta māgnayo gopāyata mā namo vo 'stu mā mā hiṃsiṣṭa | [VSM, 5 34.2]
jyotir asi viśvarūpaṃ viśveṣāṃ devānāṃ samit | [VSM, 5 35.1]
tvaṃ soma tanūkṛdbhyo dveṣobhyo 'nyakṛtebhya uru yantāsi varūthaṃ svāhā | [VSM, 5 35.2]
juṣāṇo aptur ājyasya vetu svāhā | [VSM, 5 35.3]
agne naya supathā rāyāsmān viśvāni deva vayunāni vidvān | [VSM, 5 36.1]
yuyodhy asmaj juhurāṇam eno bhūyiṣṭhāṃ te namauktiṃ vidhema | [VSM, 5 36.2]
ayaṃ no agnir varivas kṛṇotv ayaṃ mṛdhaḥ pura etu prabhindan | [VSM, 5 37.1]
ayaṃ vājān jayatu vājasātāv ayaṃ śatrūn jayatu jarhṛṣāṇaḥ svāhā | [VSM, 5 37.2]
uru viṣṇo vikramasvoru kṣayāya nas kṛdhi | [VSM, 5 38.1]
ghṛtaṃ ghṛtayone piba pra pra yajñapatiṃ tira svāhā | [VSM, 5 38.2]
deva savitar eṣa te somas taṃ rakṣasva mā tvā dabhan | [VSM, 5 39.1]
etat tvaṃ deva soma devo devāṁ upāgā idam ahaṃ manuṣyānt saha rāyaspoṣeṇa | [VSM, 5 39.2]
svāhā nir varuṇasya pāśān mucye | [VSM, 5 39.3]
agne vratapās tve vratapā yā tava tanūr mayy abhūd eṣā sā tvayi yo mama tanūs tvayy abhūd eṣā sā mayi | [VSM, 5 40.1]
yathāyathaṃ nau vratapate vratāny anu me dīkṣāṃ dīkṣāpatir amaṃstānu tapas tapaspatiḥ | [VSM, 5 40.2]
uru viṣṇo vikramasvoru kṣayāya nas kṛdhi | [VSM, 5 41.1]
ghṛtaṃ ghṛtayone piba pra pra yajñapatiṃ tira svāhā | [VSM, 5 41.2]
aty anyāṁ agāṃ nānyāṁ upāgām arvāk tvā parebhyo 'vidaṃ paro 'varebhyaḥ | [VSM, 5 42.1]
taṃ tvā juṣāmahe deva vanaspate devayajyāyai devās tvā devayajyāyai juṣantāṃ viṣṇave tvā | [VSM, 5 42.2]
oṣadhe trāyasva | [VSM, 5 42.3]
svadhite mainaṃ hiṃsīḥ | [VSM, 5 42.4]
dyāṃ mā lekhīr antarikṣaṃ mā hiṃsīḥ pṛthivyā saṃbhava | [VSM, 5 43.1]
ayaṃ hi tvā svadhitis tetijānaḥ praṇināya mahate saubhagāya | [VSM, 5 43.2]
atas tvaṃ deva vanaspate śatavalśo viroha sahasravalśā vi vayaṃ ruhema | [VSM, 5 43.3]
{VSM, 6}
devasya tvā savituḥ prasave aśvinoḥ bāhubhyām pūṣṇaḥ hastābhyām ādade | [VSM, 6 696430_1]
nārī asi | [VSM, 6 696430_2]
idam aham rakṣasām grīvāḥ apikṛntāmi | [VSM, 6 696431_1]
yavaḥ asi | [VSM, 6 696432_1]
yavaya asmat dveṣaḥ | [VSM, 6 696432_2]
yavaya arātīḥ | [VSM, 6 696432_3]
dive tvā | [VSM, 6 696433_1]
antarikṣāya tvā | [VSM, 6 696433_2]
pṛthivyai tvā | [VSM, 6 696433_3]
śundhantām lokāḥ pitṛṣadanāḥ | [VSM, 6 696434_1]
pitṛṣadanam asi | [VSM, 6 696435_1]
agreṇīḥ asi su āveśaḥ unnetṝṇām | [VSM, 6 696436_1]
etasya vittāt | [VSM, 6 696436_2]
adhi tvā sthāsyati | [VSM, 6 696436_3]
devaḥ tvā savitā madhvā anaktu | [VSM, 6 696437_1]
su pippalābhyaḥ tvā oṣadhībhyaḥ | [VSM, 6 696438_1]
dyām agreṇa aspṛkṣaḥ | [VSM, 6 696439_1]
ā antarikṣam madhyena aprāḥ | [VSM, 6 696439_2]
pṛthivīm upareṇa adṛṃhīḥ | [VSM, 6 696439_3]
yā te dhāmāni uśmasi gamadhyai yatra gāvaḥ bhūri śṛṅgāḥ ayāsaḥ atra aha tat uru gāyasya viṣṇoḥ paramam padam avabhāri bhūri | [VSM, 6 696441_1]
brahma vani tvā kṣatra vani rāyaspoṣa vani paryūhāmi | [VSM, 6 696442_1]
brahma dṛṃha | [VSM, 6 696443_1]
kṣatram dṛṃha | [VSM, 6 696443_2]
āyuḥ dṛṃha | [VSM, 6 696443_3]
prajām dṛṃha | [VSM, 6 696443_4]
viṣṇoḥ karmāṇi paśyata yatas vratāni paspaśe | [VSM, 6 696444_1]
indrasya yujyaḥ sakhā | [VSM, 6 696445_1]
tat viṣṇoḥ paramam padam sadā paśyanti sūrayaḥ divi iva cakṣuḥ ātatam | [VSM, 6 696446_1]
parivīḥ asi | [VSM, 6 696447_1]
pari tvā daivīḥ viśaḥ vyayantām pari imam yajamānam rāyaḥ manuṣyāṇām | [VSM, 6 696447_2]
divaḥ sūnuḥ asi | [VSM, 6 696448_1]
eṣa te pṛthivyām lokaḥ | [VSM, 6 696449_1]
āraṇyaḥ te paśuḥ | [VSM, 6 696449_2]
upāvīḥ asi | [VSM, 6 696450_1]
upa devān daivīḥ viśaḥ prāguḥ uśijaḥ vahnitamān | [VSM, 6 696451_1]
deva tvaṣṭar vasu rama | [VSM, 6 696452_1]
havyā te svadantām | [VSM, 6 696452_2]
revatī ramadhvam | [VSM, 6 696453_1]
bṛhaspate dhāraya vasūni | [VSM, 6 696453_2]
ṛtasya tvā deva haviḥ pāśena pratimuñcāmi | [VSM, 6 696454_1]
dharṣa mānuṣaḥ | [VSM, 6 696454_2]
devasya tvā savituḥ prasave aśvinoḥ bāhubhyām pūṣṇaḥ hastābhyām agnīṣomābhyām juṣṭam niyunajmi | [VSM, 6 696456_1]
adbhyaḥ tvā oṣadhībhyaḥ | [VSM, 6 696457_1]
anu tvā mātā manyatām anu pitā anu bhrātā sagarbhyaḥ anu sakhā sa yūthyaḥ | [VSM, 6 696457_2]
agnīṣomābhyām tvā juṣṭam prokṣāmi | [VSM, 6 696458_1]
apām peruḥ asi | [VSM, 6 696459_1]
āpaḥ devīḥ svadantu svāttam cit sat deva haviḥ | [VSM, 6 696460_1]
sam te prāṇaḥ vātena gacchatām sam aṅgāni yajatraiḥ sam yajñapatiḥ āśiṣā | [VSM, 6 696461_1]
ghṛtena aktau paśūn trāyethām | [VSM, 6 696462_1]
revati yajamāne priyam dhāḥ āviśa | [VSM, 6 696463_1]
uroḥ antarikṣāt sajūs devena vātena asya haviṣaḥ tmanā yaja | [VSM, 6 696464_1]
sam asya tanvā bhava | [VSM, 6 696464_2]
varṣo varṣīyasi yajñe yajñapatim dhāḥ | [VSM, 6 696465_1]
svāhā devebhyaḥ | [VSM, 6 696466_1]
devebhyaḥ svāhā | [VSM, 6 696467_1]
mā ahiḥ bhūḥ mā pṛdākuḥ | [VSM, 6 696468_1]
namaḥ te ātāna | [VSM, 6 696469_1]
anarvā prehi ghṛtasya kulyāḥ upa ṛtasya pathyāḥ anu | [VSM, 6 696469_2]
devīḥ āpaḥ śuddhāḥ voḍhvam su pariviṣṭāḥ deveṣu | [VSM, 6 696471_1]
su pariviṣṭāḥ vayam pariveṣṭāraḥ bhūyāsma | [VSM, 6 696472_1]
vācam te śundhāmi | [VSM, 6 696473_1]
prāṇam te śundhāmi | [VSM, 6 696474_1]
cakṣuḥ te śundhāmi | [VSM, 6 696475_1]
śrotram te śundhāmi | [VSM, 6 696476_1]
nābhim te śundhāmi | [VSM, 6 696477_1]
meḍhram te śundhāmi | [VSM, 6 696478_1]
pāyum te śundhāmi | [VSM, 6 696479_1]
caritrān te śundhāmi | [VSM, 6 696480_1]
manaḥ te āpyāyatām | [VSM, 6 696481_1]
vāc te āpyāyatām | [VSM, 6 696482_1]
prāṇaḥ te āpyāyatām | [VSM, 6 696483_1]
cakṣuḥ te āpyāyatām | [VSM, 6 696484_1]
śrotram te āpyāyatām | [VSM, 6 696485_1]
yat te krūram yat āsthitam tat te āpyāyatām niṣṭyāyatām | [VSM, 6 696486_1]
tat te śudhyatu | [VSM, 6 696486_2]
śam ahobhyaḥ | [VSM, 6 696487_1]
oṣadhe trāyasva | [VSM, 6 696488_1]
svadhite mā enam hiṃsīḥ | [VSM, 6 696489_1]
rakṣasām bhāgaḥ asi | [VSM, 6 696490_1]
nirastam rakṣaḥ | [VSM, 6 696491_1]
idam aham rakṣaḥ abhitiṣṭhāmi | [VSM, 6 696492_1]
idam aham rakṣaḥ avabādhe | [VSM, 6 696492_2]
idam aham rakṣaḥ adhamam tamaḥ nayāmi | [VSM, 6 696492_3]
ghṛtena dyāvāpṛthivī prorṇuvāthām | [VSM, 6 696493_1]
vāyo veḥ stokānām | [VSM, 6 696494_1]
agniḥ ājyasya vetu svāhā | [VSM, 6 696495_1]
svāhākṛte ūrdhva nabhasam mārutam gacchatam | [VSM, 6 696496_1]
idam āpaḥ pravahata avadyam ca malam ca yat | [VSM, 6 696497_1]
yat ca abhidudroha anṛtam yat ca śepe abhīruṇam āpaḥ mā tasmāt enasaḥ pavamānaḥ ca muñcatu | [VSM, 6 696499_1]
sam te manaḥ manasā sam prāṇaḥ prāṇena gacchatām | [VSM, 6 696500_1]
rej asi | [VSM, 6 696501_1]
agniḥ tvā śrīṇātu | [VSM, 6 696501_2]
āpaḥ tvā samariṇan | [VSM, 6 696501_3]
vātasya tvā dhrājyai pūṣṇaḥ raṃhyai | [VSM, 6 696501_4]
ūṣmaṇaḥ vyathiṣat prayutam dveṣaḥ | [VSM, 6 696501_5]
ghṛtam ghṛta pāvānaḥ pibata | [VSM, 6 696503_1]
vasām vasā pāvānaḥ pibata | [VSM, 6 696503_2]
antarikṣasya haviḥ asi svāhā | [VSM, 6 696503_3]
diśaḥ pradiśaḥ ādiśaḥ vidiśaḥ uddiśaḥ | [VSM, 6 696504_1]
digbhyaḥ svāhā | [VSM, 6 696509_1]
aindraḥ prāṇaḥ aṅge aṅge nidīdhyat | [VSM, 6 696510_1]
aindraḥ udānaḥ aṅge aṅge nidhītaḥ | [VSM, 6 696510_2]
deva tvaṣṭar bhūri te sam sametu | [VSM, 6 696511_1]
devatrā yantam avase sakhāyaḥ anu tvā mātā pitaraḥ madantu | [VSM, 6 696512_1]
samudram gaccha svāhā | [VSM, 6 696513_1]
antarikṣam gaccha svāhā | [VSM, 6 696514_1]
devam savitāram gaccha svāhā | [VSM, 6 696515_1]
mitrāvaruṇau gaccha svāhā | [VSM, 6 696516_1]
ahorātre gaccha svāhā | [VSM, 6 696517_1]
chandāṃsi gaccha svāhā | [VSM, 6 696518_1]
dyāvāpṛthivī gaccha svāhā | [VSM, 6 696519_1]
yajñam gaccha svāhā | [VSM, 6 696520_1]
somam gaccha svāhā | [VSM, 6 696521_1]
divyam nabhaḥ gaccha svāhā | [VSM, 6 696522_1]
agnim vaiśvānaram gaccha svāhā | [VSM, 6 696523_1]
manaḥ me hārdi yaccha | [VSM, 6 696524_1]
divam te dhūmaḥ gacchatu svar jyotiḥ | [VSM, 6 696525_1]
pṛthivīm bhasmanā pṛṇa svāhā | [VSM, 6 696525_2]
mā apaḥ mā oṣadhīḥ hiṃsīḥ | [VSM, 6 696526_1]
dhāmnaḥ dhāmnaḥ rājan tatas varuṇa naḥ muñca | [VSM, 6 696527_1]
yat āhuḥ aghnyāḥ iti varuṇa iti śapāmahe tatas varuṇa naḥ muñca | [VSM, 6 696528_1]
su mitriyāḥ naḥ āpaḥ oṣadhayaḥ santu | [VSM, 6 696529_1]
durmitriyāḥ tasmai santu yaḥ asmān dveṣṭi yam ca vayam dviṣmaḥ | [VSM, 6 696529_2]
haviṣmatīḥ imāḥ āpaḥ | [VSM, 6 696530_1]
haviṣmāṁ āvivāsati | [VSM, 6 696530_2]
haviṣmān devaḥ adhvaraḥ | [VSM, 6 696531_1]
haviṣmāṁ astu sūryaḥ | [VSM, 6 696531_2]
agneḥ vaḥ a panna gṛhasya sadasi sādayāmi | [VSM, 6 696532_1]
indra agnyoḥ bhāgadheyīḥ stha | [VSM, 6 696533_1]
mitrāvaruṇayoḥ bhāgadheyīḥ stha | [VSM, 6 696534_1]
viśveṣām devānām bhāgadheyīḥ stha | [VSM, 6 696535_1]
amūḥ yāḥ upa sūrye yābhiḥ vā sūryaḥ saha tāḥ naḥ hinvantu adhvaram | [VSM, 6 696537_1]
hṛde tvā | [VSM, 6 696538_1]
manase tvā | [VSM, 6 696538_2]
dive tvā | [VSM, 6 696538_3]
sūryāya tvā | [VSM, 6 696538_4]
ūrdhvam imam adhvaram divi deveṣu hotrā yaccha | [VSM, 6 696539_1]
soma rājan viśvāḥ tvam prajāḥ upa ava roha | [VSM, 6 696540_1]
viśvāḥ tvām prajāḥ upāvarohantu | [VSM, 6 696541_1]
śṛṇotu agniḥ samidhā havam me | [VSM, 6 696542_1]
śṛṇvantu āpaḥ dhiṣaṇāḥ ca devīḥ | [VSM, 6 696542_2]
śrota grāvāṇaḥ viduṣaḥ na yajñam | [VSM, 6 696543_1]
śṛṇotu devaḥ savitā havam me svāhā | [VSM, 6 696543_2]
devīḥ āpaḥ apām napāt yaḥ vaḥ ūrmiḥ viṣyaḥ indriyāvān madintamaḥ tam devebhyaḥ devatrā datta śukrapebhyaḥ yeṣām bhāgaḥ stha svāhā | [VSM, 6 696545_1]
kārṣiḥ asi | [VSM, 6 696546_1]
samudrasya tvā akṣityai unnayāmi | [VSM, 6 696547_1]
sam āpaḥ adbhiḥ agmata sam oṣadhībhiḥ oṣadhīḥ | [VSM, 6 696548_1]
yam agne pṛtsu martyam avāḥ vājeṣu yam junāḥ sa yantā śaśvatīḥ iṣaḥ svāhā | [VSM, 6 696550_1]
devasya tvā savituḥ prasave aśvinoḥ bāhubhyām pūṣṇaḥ hastābhyām ādade | [VSM, 6 696552_1]
rāvā asi | [VSM, 6 696552_2]
gabhīram imam adhvaram kṛdhi indrāya suṣūtamam | [VSM, 6 696552_3]
uttamena pavinā ūrjasvantam madhumantam payasvantam | [VSM, 6 696553_1]
nigrābhyāḥ stha deva śrutaḥ | [VSM, 6 696554_1]
tarpayata mā | [VSM, 6 696554_2]
manaḥ me tarpayata | [VSM, 6 696555_1]
vācam me tarpayata | [VSM, 6 696555_2]
prāṇam me tarpayata | [VSM, 6 696555_3]
cakṣuḥ me tarpayata | [VSM, 6 696555_4]
śrotram me tarpayata | [VSM, 6 696555_5]
ātmānam me tarpayata | [VSM, 6 696555_6]
prajām me tarpayata | [VSM, 6 696555_7]
paśūn me tarpayata | [VSM, 6 696555_8]
gaṇān me tarpayata | [VSM, 6 696555_9]
gaṇāḥ me mā vitṛṣan | [VSM, 6 696555_10]
indrāya tvā vasumate rudravate | [VSM, 6 696556_1]
indrāya tvā ādityavate | [VSM, 6 696557_1]
indrāya tvā abhimāti ghne | [VSM, 6 696558_1]
śyenāya tvā soma bhṛte | [VSM, 6 696559_1]
agnaye tvā rāyaspoṣa de | [VSM, 6 696560_1]
yat te soma divi jyotiḥ yat pṛthivyām yat urau antarikṣe tena asmai yajamānāya uru rāye kṛdhī | [VSM, 6 696562_1]
adhi dātre vocaḥ | [VSM, 6 696562_2]
śvātrāḥ stha vṛtra turaḥ rādhaḥ gūrtāḥ amṛtasya patnīḥ | [VSM, 6 696563_1]
tāḥ devīḥ devatrā imam yajñam nayata | [VSM, 6 696564_1]
upahūtāḥ somasya pibata | [VSM, 6 696564_2]
mā bheḥ | [VSM, 6 696565_1]
mā sam vikthāḥ | [VSM, 6 696565_2]
ūrjam dhatsva | [VSM, 6 696565_3]
dhiṣaṇe vīḍvī satī vīḍayethām | [VSM, 6 696565_4]
ūrjam dadhāthām | [VSM, 6 696565_5]
pāpmā hataḥ na somaḥ | [VSM, 6 696566_1]
prāk apāk udak adharāk sarvatas tvā diśaḥ ādhāvantu | [VSM, 6 696567_1]
amba niṣpara | [VSM, 6 696568_1]
tvam aṅga praśaṃsiṣaḥ devaḥ śaviṣṭha martyam | [VSM, 6 696569_1]
na tvat anyaḥ maghavan asti marḍitā | [VSM, 6 696570_1]
indra bravīmi te vacaḥ | [VSM, 6 696570_2]
{VSM, 7}
vācaspataye pavasva vṛṣṇo aṃśubhyāṃ gabhastipūtaḥ | [VSM, 7 1.1]
devo devebhyaḥ pavasva yeṣāṃ bhāgo 'si | [VSM, 7 1.2]
madhumatīr na iṣas kṛdhi | [VSM, 7 2.1]
yat te somādābhyaṃ nāma jāgṛvi tasmai te soma somāya svāhā | [VSM, 7 2.2]
svāhā | [VSM, 7 2.3]
urv antarikṣam anvemi | [VSM, 7 2.4]
svāṃkṛto 'si viśvebhya indriyebhyo divyebhyaḥ pārthivebhyo manas tvāṣṭu svāhā tvā subhava sūryāya | [VSM, 7 3.1]
devebhyas tvā marīcipebhyaḥ | [VSM, 7 3.2]
devāṃśo yasmai tveḍe tat satyam upariprutā bhaṅgena hato 'sau phaṭ | [VSM, 7 3.3]
prāṇāya tvā | [VSM, 7 3.4]
vyānāya tvā | [VSM, 7 3.5]
upayāmagṛhīto 'sy antaryaccha maghavan pāhi somam | [VSM, 7 4.1]
uruṣya rāya eṣo yajasva | [VSM, 7 4.2]
antas te dyāvāpṛthivī dadhāmy antardadhāmy urv antarikṣam | [VSM, 7 5.1]
sajūr devebhir avaraiḥ paraiś cāntaryāme maghavan mādayasva | [VSM, 7 5.2]
svāṃkṛto 'si viśvebhya indriyebhyo divyebhyaḥ pārthivebhyo manas tvāṣṭu svāhā tvā subhava sūryāya | [VSM, 7 6.1]
devebhyas tvā marīcipebhyaḥ | [VSM, 7 6.2]
udānāya tvā | [VSM, 7 6.3]
ā vāyo bhūṣa śucipā upa naḥ sahasraṃ te niyuto viśvavāra | [VSM, 7 7.1]
upo te andho madyam ayāmi yasya deva dadhiṣe pūrvapeyam | [VSM, 7 7.2]
vāyave tvā | [VSM, 7 7.3]
indravāyū ime sutā upa prayobhir āgatam | [VSM, 7 8.1]
indavo vām uśanti hi | [VSM, 7 8.2]
upayāmagṛhīto 'si vāyava indravāyubhyāṃ tvā | [VSM, 7 8.3]
eṣa te yoniḥ | [VSM, 7 8.4]
sajoṣobhyāṃ tvā | [VSM, 7 8.5]
ayaṃ vāṃ mitrāvaruṇā sutaḥ soma ṛtāvṛdhā | [VSM, 7 9.1]
mamed iha śrutaṃ havam | [VSM, 7 9.2]
upayāmagṛhīto 'si mitrāvaruṇābhyāṃ tvā | [VSM, 7 9.3]
rāyā vayaṃ sasavāṃso madema havyena devā yavasena gāvaḥ | [VSM, 7 10.1]
tāṃ dhenuṃ mitrāvaruṇā yuvaṃ no viśvāhā dhattam anapasphurantīm | [VSM, 7 10.2]
eṣa te yonir ṛtāyubhyāṃ tvā | [VSM, 7 10.3]
yā vāṃ kaśā madhumatyaśvinā sūnṛtāvatī | [VSM, 7 11.1]
tayā yajñaṃ mimikṣatam | [VSM, 7 11.2]
upayāmagṛhīto 'sy aśvibhyāṃ tvā | [VSM, 7 11.3]
eṣa te yonir mādhvībhyāṃ tvā | [VSM, 7 11.4]
taṃ pratnathā pūrvathā viśvathemathā jyeṣṭhatātiṃ barhiṣadaṃ svarvidam | [VSM, 7 12.1]
pratīcīnaṃ vṛjanaṃ dohase dhunim āśuṃ jayantam anu yāsu vardhase | [VSM, 7 12.2]
upayāmagṛhīto 'si śaṇḍāya tvā | [VSM, 7 12.3]
eṣa te yonir vīratāṃ pāhi | [VSM, 7 12.4]
apamṛṣṭaḥ śaṇḍaḥ | [VSM, 7 12.5]
devās tvā śukrapāḥ praṇayantu | [VSM, 7 12.6]
anādhṛṣṭāsi | [VSM, 7 12.7]
suvīro vīrān prajanayan parīhy abhi rāyaspoṣeṇa yajamānam | [VSM, 7 13.1]
saṃjagmāno divā pṛthivyā śukraḥ śukraśociṣā | [VSM, 7 13.2]
nirastaḥ śaṇḍaḥ | [VSM, 7 13.3]
śukrasyādhiṣṭhānam asi | [VSM, 7 13.4]
acchinnasya te deva soma suvīryasya rāyaspoṣasya daditāraḥ syāma | [VSM, 7 14.1]
sā prathamā saṃskṛtir viśvavārā sa prathamo varuṇo mitro agniḥ | [VSM, 7 14.2]
sa prathamo bṛhaspatiś cikitvāṃs tasmā indrāya sutam ājuhota svāhā | [VSM, 7 15.1]
tṛmpantu hotrā madhvo yāḥ sviṣṭā yāḥ suprītāḥ suhutā yat svāhā | [VSM, 7 15.2]
ayāḍ agnīt | [VSM, 7 15.3]
ayaṃ venaś codayat pṛśnigarbhā jyotirjarāyū rajaso vimāne | [VSM, 7 16.1]
imam apāṃ saṃgame sūryasya śiśuṃ na viprā matibhī rihanti | [VSM, 7 16.2]
upayāmagṛhīto 'si markāya tvā | [VSM, 7 16.3]
mano na yeṣu havaneṣu tigmaṃ vipaḥ śacyā vanutho dravantā | [VSM, 7 17.1]
ā yaḥ śaryābhis tuvinṛmṇo asyāśrīṇītādiśaṃ gabhastau | [VSM, 7 17.2]
eṣa te yoniḥ prajāḥ pāhi | [VSM, 7 17.3]
apamṛṣṭo markaḥ | [VSM, 7 17.4]
devās tvā manthipāḥ praṇayantu | [VSM, 7 17.5]
anādhṛṣṭāsi | [VSM, 7 17.6]
suprajāḥ prajāḥ prajanayan parīhy abhi rāyaspoṣeṇa yajamānam | [VSM, 7 18.1]
saṃjagmāno divā pṛthivyā manthī manthiśociṣā | [VSM, 7 18.2]
nirasto markaḥ | [VSM, 7 18.3]
manthino 'dhiṣṭhānam asi | [VSM, 7 18.4]
ye devāso divy ekādaśa stha pṛthivyām adhy ekādaśa stha | [VSM, 7 19.1]
apsukṣito mahinaikādaśa stha te devāso yajñam imaṃ juṣadhvam | [VSM, 7 19.2]
upayāmagṛhīto 'sy āgrayaṇo 'si svāgrayaṇaḥ pāhi yajñaṃ pāhi yajñapatiṃ viṣṇus tvām indriyeṇa pātu viṣṇuṃ tvaṃ pāhy abhi savanāni pāhi | [VSM, 7 20.1]
somaḥ pavate somaḥ pavate 'smai brahmaṇe 'smai kṣatrāyāsmai sunvate yajamānāya pavata iṣa ūrje pavate 'dbhya oṣadhībhyaḥ pavate dyāvāpṛthivībhyāṃ pavate subhūtāya pavate viśvebhyas tvā devebhyaḥ | [VSM, 7 21.1]
eṣa te yonir viśvebhyas tvā devebhyaḥ | [VSM, 7 21.2]
upayāmagṛhīto 'sīndrāya tvā bṛhadvate vayasvata ukthāvyaṃ gṛhṇāmi | [VSM, 7 22.1]
yat ta indra bṛhad vayas tasmai tvā viṣṇave tvā | [VSM, 7 22.2]
eṣa te yonir ukthebhyas tvā | [VSM, 7 22.3]
devebhyas tvā devāvyaṃ gṛhṇāmi yajñasyāyuṣe gṛhṇāmi | [VSM, 7 22.4]
mitrāvaruṇābhyāṃ tvā devāvyaṃ yajñasyāyuṣe gṛhṇāmi | [VSM, 7 23.1]
indrāya tvā devāvyaṃ yajñasyāyuṣe gṛhṇāmi | [VSM, 7 23.2]
indrāgnibhyāṃ tvā devāvyaṃ yajñasyāyuṣe gṛhṇāmi | [VSM, 7 23.3]
indrāvaruṇābhyāṃ tvā devāvyaṃ yajñasyāyuṣe gṛhṇāmi | [VSM, 7 23.4]
indrābṛhaspatibhyāṃ tvā devāvyaṃ yajñasyāyuṣe gṛhṇāmi | [VSM, 7 23.5]
indrāviṣṇubhyāṃ tvā devāvyaṃ yajñasyāyuṣe gṛhṇāmi | [VSM, 7 23.6]
mūrdhānaṃ divo aratiṃ pṛthivyā vaiśvānaram ṛta ājātam agnim | [VSM, 7 24.1]
kaviṃ samrājam atithiṃ janānām āsann ā pātraṃ janayanta devāḥ | [VSM, 7 24.2]
upayāmagṛhīto 'si dhruvo 'si dhruvakṣitir dhruvāṇāṃ dhruvatamo 'cyutānām acyutakṣittamaḥ | [VSM, 7 25.1]
eṣa te yonir vaiśvānarāya tvā | [VSM, 7 25.2]
dhruvaṃ dhruveṇa manasā vācā somam avanayāmi | [VSM, 7 25.3]
